Settings: {"threads":4,"sourcedir":"C:\\Users\\pfeeney\\Desktop\\test","destdir":"C:\\Users\\pfeeney\\Desktop\\dest","nowriteoutput":false,"iterations":200,"conversion_host":"http://localhost:19060/PCCIS","min_avail":null,"workfile_host":"http://localhost:19020/PCCIS","workfile_exp":"1d","dest_format":"png,jpeg,svg,pdf,tiff","dest_opts_file":"C:/Users/pfeeney/Desktop/opts.json","filter":".*"}
File,Duration,Success
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.014,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"UDBO3y8nQbm-7qL9juhDKw"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\100e.dwg,0.139,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.717,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.142,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.815,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.367,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.133,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.476,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.132,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.583,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.923,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.672,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.586,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.125,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.118,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.569,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.368,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.577,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.381,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,3.078,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,1.018,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.698,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.611,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.02,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"oLC8d3SvCtL2WWSopYe_cg"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.245,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.68,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.591,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.356,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.67,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.131,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.466,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.134,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.09,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.131,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.124,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.899,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.918,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.523,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.676,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.674,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.118,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.57,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.785,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,1.979,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.48,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.575,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.281,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.382,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.608,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.363,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.309,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.895,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,0.135,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.636,True,OK
